Matrix ID,Matrix Tag Comment,Matrix Type,Diff. Matrix Info.,Branch/Terr.,Home Branch,Bill To ID,Customer ID,Customer Name,Price Class,Outside Salesperson,Price Line,SellGroupAll,SellGroupMscAll,SellGroupMregAll,PROD_NBR,Product Description,Price Date Ovrd.,LIST,UMSP,CMP,STD-COST,REP-COST,AVG-COST,LASTCOST,Lnd Cost,Avg Lnd,Price Basis#,Price Formula,Qty Break Basis,Qty Break Formula,Qty Brk. Form Constant,Qty Break Points,Qty Break UOM,Qty Brk. Form Multplier,Split Qty,Cost Basis#,Cost Formula,Effective Date,Expire Date,Enable Rnding Rules
1029~159~944843~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,944843,MILWTL 12 TONGUE & GROOVE PLIERS,,26.700,23.000,18.900,12.566,12.200,12.200,12.200,12.200,12.200,5,*1.5385,5,*1.5385,0,,,153850000,N,,,04/01/2022,06/30/2022,N
1002~159~1035431~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,IK5,1035431,REHAU 2 RAUPEX WH UV SHLD PIPE 300,,12.435,0,12.810,5.507,5.347,5.347,5.347,5.347,5.347,28,GP22.01,28,GP22.01,0,,,128221567,N,,,12/01/2021,06/30/2022,N
1029~159~56053~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MTA,56053,MILWTL PEX & TUBING CUTTER BLADE,,13.500,10.900,8.720,5.974,5.800,5.800,5.800,5.800,5.800,5,*2,5,*2,0,,,200000000,N,,,04/01/2022,06/30/2022,N
1002~159~581141~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581141,REHAU 3/4X3/4X1/2 EVERLOC POLY TEE,,2.680,0,3.067,1.187,1.152,1.152,1.152,1.152,1.152,28,GP16.12,28,GP16.12,0,,,119217930,N,,,12/01/2021,06/30/2022,N
1100~159~83051~19694.2,,N,,1100,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,ESSICK,ESSICK,ESSICK,MA2,83051,ESSICK SIDEDRAFT BLOWER SECTION,,1148.399,0,843.387,459.359,445.980,445.980,445.980,445.980,445.980,28,GP8.4,28,GP8.4,0,,,109170306,N,,,12/01/2021,06/30/2022,N
1002~159~1498918~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,RECSEAL,RECSEAL,RECSEAL,RECSEAL,1498918,RECTORSEAL PRO-FIT 3/8IN QUIK CNECT,,63.165,0,44.773,25.266,24.530,24.530,24.530,24.530,24.530,5,GP30,5,GP30,0,,,142857143,N,,,12/01/2021,06/30/2022,N
1039~159~65156~19805,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AQUATIC,AQUATIC,AQUATIC,LB,65156,AQTC 36X36X72-3/4 3-PC GEL SHWR,,1174.000,0,788.025,603.158,585.590,585.590,585.590,585.590,585.590,28,D0.886997,28,D0.886997,0,,,112739953,N,,,03/22/2022,06/30/2022,N
1029~159~3861~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW POW TOOL,MT,3861,MILWTL M18 LED FLASHLIGHT TOOL ONLY,,92.000,92.000,58.640,40.170,39.000,39.000,39.000,39.000,39.000,5,*1.2048,5,*1.2048,0,,,120480000,N,,,04/01/2022,06/30/2022,N
1002~159~10278~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURAL,DURAL,POLYGASF,GP1,10278,DURLINE GAS MOT RISER 24VX36 1-1/4,,33.700,0,103.260,34.711,33.700,33.700,33.700,33.700,33.700,28,GP43.36,28,GP43.36,0,,,176553672,N,,,12/01/2021,06/30/2022,N
1029~159~1476443~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,VERTEX,VERTEX,VERTEX,VERTEX,1476443,VERTEX RO UNIT W/AIR GAP PT504AG,,352.775,0,239.100,141.110,137.000,137.000,137.000,137.000,137.000,28,GP28.350859,28,GP28.350859,0,,,139569015,N,,,04/01/2022,06/30/2022,N
1039~159~1206372~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURODYNE,DURODYNE,DURODYNE,DURODYNE,1206372,DURDYN DYN-O-TIE DDN36 6298,,0.487,0,0.750,0.301,0.292,0.292,0.292,0.292,0.292,1,$0.4340,1,$0.4340,0.43400,,,0,N,,,04/01/2022,06/30/2022,N
